rf_code,codepoints,name,group,subgroup,order,status,reason
70,1F913,nerd face,Smileys & Emotion,face-glasses,74,included,
71,1F9D0,face with monocle,Smileys & Emotion,face-glasses,75,included,
72,1F615,confused face,Smileys & Emotion,face-concerned,76,included,
73,1FAE4,face with diagonal mouth,Smileys & Emotion,face-concerned,77,included,
74,1F61F,worried face,Smileys & Emotion,face-concerned,78,included,
,1F641,slightly frowning face,Smileys & Emotion,face-concerned,79,excluded,appearance_variant
75,2639 FE0F,frowning face,Smileys & Emotion,face-concerned,80,included,
76,1F62E,face with open mouth,Smileys & Emotion,face-concerned,81,included,
77,1F62F,hushed face,Smileys & Emotion,face-concerned,82,included,
78,1F632,astonished face,Smileys & Emotion,face-concerned,83,included,
79,1F633,flushed face,Smileys & Emotion,face-concerned,84,included,
80,1F97A,pleading face,Smileys & Emotion,face-concerned,85,included,
81,1F979,face holding back tears,Smileys & Emotion,face-concerned,86,included,
82,1F626,frowning face with open mouth,Smileys & Emotion,face-concerned,87,included,
83,1F627,anguished face,Smileys & Emotion,face-concerned,88,included,
84,1F628,fearful face,Smileys & Emotion,face-concerned,89,included,
85,1F630,anxious face with sweat,Smileys & Emotion,face-concerned,90,included,
86,1F625,sad but relieved face,Smileys & Emotion,face-concerned,91,included,
87,1F622,crying face,Smileys & Emotion,face-concerned,92,included,
88,1F62D,loudly crying face,Smileys & Emotion,face-concerned,93,included,
89,1F631,face screaming in fear,Smileys & Emotion,face-concerned,94,included,
90,1F616,confounded face,Smileys & Emotion,face-concerned,95,included,
91,1F623,persevering face,Smileys & Emotion,face-concerned,96,included,
92,1F61E,disappointed face,Smileys & Emotion,face-concerned,97,included,
93,1F613,downcast face with sweat,Smileys & Emotion,face-concerned,98,included,
94,1F629,weary face,Smileys & Emotion,face-concerned,99,included,
95,1F62B,tired face,Smileys & Emotion,face-concerned,100,included,
96,1F971,yawning face,Smileys & Emotion,face-concerned,101,included,
97,1F624,face with steam from nose,Smileys & Emotion,face-negative,102,included,
98,1F621,enraged face,Smileys & Emotion,face-negative,103,included,
99,1F620,angry face,Smileys & Emotion,face-negative,104,included,
100,1F92C,face with symbols on mouth,Smileys & Emotion,face-negative,105,included,
101,1F608,smiling face with horns,Smileys & Emotion,face-negative,106,included,
102,1F47F,angry face with horns,Smileys & Emotion,face-negative,107,included,
103,1F480,skull,Smileys & Emotion,face-negative,108,included,
104,2620 FE0F,skull and crossbones,Smileys & Emotion,face-negative,109,included,
105,1F4A9,pile of poo,Smileys & Emotion,face-costume,110,included,
106,1F921,clown face,Smileys & Emotion,face-costume,111,included,
107,1F479,ogre,Smileys & Emotion,face-costume,112,included,
108,1F47A,goblin,Smileys & Emotion,face-costume,113,included,
109,1F47B,ghost,Smileys & Emotion,face-costume,114,included,
110,1F47D,alien,Smileys & Emotion,face-costume,115,included,
111,1F47E,alien monster,Smileys & Emotion,face-costume,116,included,
112,1F916,robot,Smileys & Emotion,face-costume,117,included,
113,1F63A,grinning cat,Smileys & Emotion,cat-face,118,included,
114,1F638,grinning cat with smiling eyes,Smileys & Emotion,cat-face,119,included,
115,1F639,cat with tears of joy,Smileys & Emotion,cat-face,120,included,
116,1F63B,smiling cat with heart-eyes,Smileys & Emotion,cat-face,121,included,
117,1F63C,cat with wry smile,Smileys & Emotion,cat-face,122,included,
118,1F63D,kissing cat,Smileys & Emotion,cat-face,123,included,
119,1F640,weary cat,Smileys & Emotion,cat-face,124,included,
120,1F63F,crying cat,Smileys & Emotion,cat-face,125,included,
,1F63E,pouting cat,Smileys & Emotion,cat-face,126,excluded,appearance_variant
121,1F648,see-no-evil monkey,Smileys & Emotion,monkey-face,127,included,
122,1F649,hear-no-evil monkey,Smileys & Emotion,monkey-face,128,included,
123,1F64A,speak-no-evil monkey,Smileys & Emotion,monkey-face,129,included,
124,1F48C,love letter,Smileys & Emotion,heart,130,included,
125,1F498,heart with arrow,Smileys & Emotion,heart,131,included,
126,1F49D,heart with ribbon,Smileys & Emotion,heart,132,included,
127,1F496,sparkling heart,Smileys & Emotion,heart,133,included,
128,1F497,growing heart,Smileys & Emotion,heart,134,included,
129,1F493,beating heart,Smileys & Emotion,heart,135,included,
130,1F49E,revolving hearts,Smileys & Emotion,heart,136,included,
131,1F495,two hearts,Smileys & Emotion,heart,137,included,
,1F49F,heart decoration,Smileys & Emotion,heart,138,excluded,appearance_variant
132,2763 FE0F,heart exclamation,Smileys & Emotion,heart,139,included,
133,1F494,broken heart,Smileys & Emotion,heart,140,included,
134,2764 FE0F 200D 1F525,heart on fire,Smileys & Emotion,heart,141,included,zwj_sequence
