rf_code,codepoints,name,group,subgroup,order,joypixels_file,status,reason
,1F9CD 200D 2642 FE0F,man standing,People & Body,person-activity,1570,1f9cd-2642.png,excluded,zwj_sequence
,1F9CD 1F3FB 200D 2642 FE0F,man standing: light skin tone,People & Body,person-activity,1571,1f9cd-1f3fb-2642.png,excluded,skin_tone_variant
,1F9CD 1F3FC 200D 2642 FE0F,man standing: medium-light skin tone,People & Body,person-activity,1572,1f9cd-1f3fc-2642.png,excluded,skin_tone_variant
,1F9CD 1F3FD 200D 2642 FE0F,man standing: medium skin tone,People & Body,person-activity,1573,1f9cd-1f3fd-2642.png,excluded,skin_tone_variant
,1F9CD 1F3FE 200D 2642 FE0F,man standing: medium-dark skin tone,People & Body,person-activity,1574,1f9cd-1f3fe-2642.png,excluded,skin_tone_variant
,1F9CD 1F3FF 200D 2642 FE0F,man standing: dark skin tone,People & Body,person-activity,1575,1f9cd-1f3ff-2642.png,excluded,skin_tone_variant
,1F9CD 200D 2640 FE0F,woman standing,People & Body,person-activity,1576,1f9cd-2640.png,excluded,zwj_sequence
,1F9CD 1F3FB 200D 2640 FE0F,woman standing: light skin tone,People & Body,person-activity,1577,1f9cd-1f3fb-2640.png,excluded,skin_tone_variant
,1F9CD 1F3FC 200D 2640 FE0F,woman standing: medium-light skin tone,People & Body,person-activity,1578,1f9cd-1f3fc-2640.png,excluded,skin_tone_variant
,1F9CD 1F3FD 200D 2640 FE0F,woman standing: medium skin tone,People & Body,person-activity,1579,1f9cd-1f3fd-2640.png,excluded,skin_tone_variant
,1F9CD 1F3FE 200D 2640 FE0F,woman standing: medium-dark skin tone,People & Body,person-activity,1580,1f9cd-1f3fe-2640.png,excluded,skin_tone_variant
,1F9CD 1F3FF 200D 2640 FE0F,woman standing: dark skin tone,People & Body,person-activity,1581,1f9cd-1f3ff-2640.png,excluded,skin_tone_variant
,1F9CE,person kneeling,People & Body,person-activity,1582,1f9ce.png,candidate,
,1F9CE 1F3FB,person kneeling: light skin tone,People & Body,person-activity,1583,1f9ce-1f3fb.png,excluded,skin_tone_variant
,1F9CE 1F3FC,person kneeling: medium-light skin tone,People & Body,person-activity,1584,1f9ce-1f3fc.png,excluded,skin_tone_variant
,1F9CE 1F3FD,person kneeling: medium skin tone,People & Body,person-activity,1585,1f9ce-1f3fd.png,excluded,skin_tone_variant
,1F9CE 1F3FE,person kneeling: medium-dark skin tone,People & Body,person-activity,1586,1f9ce-1f3fe.png,excluded,skin_tone_variant
,1F9CE 1F3FF,person kneeling: dark skin tone,People & Body,person-activity,1587,1f9ce-1f3ff.png,excluded,skin_tone_variant
,1F9CE 200D 2642 FE0F,man kneeling,People & Body,person-activity,1588,1f9ce-2642.png,excluded,zwj_sequence
,1F9CE 1F3FB 200D 2642 FE0F,man kneeling: light skin tone,People & Body,person-activity,1589,1f9ce-1f3fb-2642.png,excluded,skin_tone_variant
,1F9CE 1F3FC 200D 2642 FE0F,man kneeling: medium-light skin tone,People & Body,person-activity,1590,1f9ce-1f3fc-2642.png,excluded,skin_tone_variant
,1F9CE 1F3FD 200D 2642 FE0F,man kneeling: medium skin tone,People & Body,person-activity,1591,1f9ce-1f3fd-2642.png,excluded,skin_tone_variant
,1F9CE 1F3FE 200D 2642 FE0F,man kneeling: medium-dark skin tone,People & Body,person-activity,1592,1f9ce-1f3fe-2642.png,excluded,skin_tone_variant
,1F9CE 1F3FF 200D 2642 FE0F,man kneeling: dark skin tone,People & Body,person-activity,1593,1f9ce-1f3ff-2642.png,excluded,skin_tone_variant
,1F9CE 200D 2640 FE0F,woman kneeling,People & Body,person-activity,1594,1f9ce-2640.png,excluded,zwj_sequence
,1F9CE 1F3FB 200D 2640 FE0F,woman kneeling: light skin tone,People & Body,person-activity,1595,1f9ce-1f3fb-2640.png,excluded,skin_tone_variant
,1F9CE 1F3FC 200D 2640 FE0F,woman kneeling: medium-light skin tone,People & Body,person-activity,1596,1f9ce-1f3fc-2640.png,excluded,skin_tone_variant
